200 200
1 170 -46
2 81 75
2 157 -92
3 25 -13
3 40 93
3 183 88
4 23 40
4 59 38
4 61 9
5 108 3
5 189 65
6 48 49
6 63 -25
6 86 -19
6 91 18
6 124 16
6 164 -27
7 96 80
8 10 65
8 77 22
8 172 26
8 184 -55
10 177 35
11 58 -94
11 164 -23
12 1 5
12 181 -1
13 25 63
13 147 -29
13 168 -70
14 159 -63
14 179 -67
14 199 90
15 12 30
16 109 41
16 124 4
17 33 74
17 71 -3
17 131 -64
17 140 -73
18 62 -53
18 148 38
19 25 65
19 94 26
19 160 46
20 31 64
20 89 80
21 4 52
21 13 74
22 96 45
22 107 -81
23 46 -87
24 36 -44
24 85 85
25 5 -12
25 30 -13
25 139 -89
26 143 40
27 77 24
27 158 48
27 178 -12
28 95 56
28 125 31
28 129 -23
30 69 -45
30 86 62
30 141 2
32 78 43
32 187 34
33 32 -80
33 53 -32
33 90 92
33 183 -11
34 43 97
35 199 3
36 159 -59
36 164 -78
37 8 -96
37 55 -94
37 60 85
37 94 69
38 44 66
38 187 -22
39 5 52
39 27 -4
39 61 4
39 150 -68
40 60 43
40 98 -92
41 82 -67
41 125 -94
41 150 27
42 111 30
42 162 -76
42 175 26
42 188 -52
43 34 -55
43 51 61
43 52 71
44 17 3
46 140 51
47 4 92
47 35 17
47 56 7
47 101 -86
48 1 -40
48 19 -90
48 24 48
48 109 -87
48 144 24
49 89 -5
50 21 -98
50 24 14
50 57 11
50 153 -68
50 179 -42
50 183 45
51 11 -80
52 10 22
52 46 -74
52 50 -96
52 70 96
52 190 30
53 165 98
54 15 26
54 50 -3
54 128 55
55 103 -89
55 122 16
55 137 50
56 67 53
56 173 -23
57 3 76
57 51 86
57 151 69
57 161 -54
58 136 61
58 164 44
58 170 -46
59 11 -84
60 185 -48
61 59 -5
61 93 -16
61 130 92
61 193 -55
62 87 -4
63 137 77
64 4 13
64 79 18
65 15 -27
65 40 -59
65 45 -30
65 189 -76
66 16 28
66 181 -6
67 108 63
67 166 17
68 43 -42
68 46 39
68 58 61
68 125 -32
68 126 -19
68 150 -82
68 190 71
69 181 -77
70 18 -7
70 47 58
70 49 75
