30000 30000
1 3868 -61
1 8157 78
1 12680 96
2 10359 24
2 17701 -85
2 28521 90
3 6861 -44
3 9192 32
3 21905 1
4 9120 -45
4 14781 -49
4 18335 -11
4 19590 -45
4 20277 -76
5 247 -11
5 1066 78
5 3899 48
5 7972 68
5 8212 45
6 5800 88
6 7414 41
6 8298 97
6 12969 -9
6 22047 -21
7 6883 40
8 3610 85
8 28274 -47
9 3944 24
9 9047 -2
9 10281 -7
9 17439 -11
9 29718 25
10 5878 2
10 8836 -8
10 18922 47
10 27609 -97
11 19158 -67
11 21329 69
11 27195 44
12 2988 92
12 3885 -28
12 5685 55
12 7123 -68
12 9876 -62
12 12554 89
12 26936 87
13 7197 27
13 10645 82
13 11887 -79
13 21200 83
13 22789 -54
13 23913 22
13 23954 -93
14 15945 -28
14 20853 29
14 23135 -38
15 59 32
15 7587 25
15 10251 41
15 15973 -97
15 22603 -25
15 23561 40
15 27349 51
16 834 -16
16 933 15
16 2774 88
16 6728 -11
16 11269 -41
16 19850 -46
16 23798 24
16 24635 -97
17 1171 53
17 4268 -59
17 25826 87
18 7294 43
18 11222 49
19 4107 -24
20 9093 59
20 11775 -25
21 2857 -14
21 12622 89
21 16514 -89
21 17433 83
21 18003 -1
21 28708 -45
22 16103 87
24 4129 96
24 4970 -27
24 14384 -27
24 22784 96
25 7229 98
25 17646 14
25 19758 -18
26 902 -78
26 915 97
26 4809 -80
27 2905 -33
27 9032 97
27 10165 -32
27 15875 46
27 20156 -4
27 25989 76
28 11144 67
28 18302 -92
28 25645 19
29 3327 -25
29 3351 -58
29 3477 -96
29 9479 -21
29 9649 -65
29 13178 -64
29 14666 83
30 3715 -41
30 16585 -45
30 17267 81
30 18936 -41
30 26037 -83
31 6711 20
31 8059 -43
31 14635 -7
31 24493 -54
31 25539 2
32 7339 -24
32 19399 -25
32 22765 85
33 2386 73
33 8187 -58
33 10948 -68
33 11551 17
33 16908 65
33 16936 24
33 22800 2
33 22973 -89
33 29495 -56
34 2643 77
34 3229 54
34 7542 -32
34 12216 37
34 13617 75
34 17825 95
35 4262 48
35 13762 -82
35 15286 37
36 10669 -77
36 24819 13
37 7880 63
37 19295 -78
38 3951 87
38 11539 15
38 13185 -31
38 20617 43
38 28499 40
39 9608 81
39 25737 -4
39 28342 -91
40 9519 93
40 17921 -3
41 18 53
